,sh.600025,sh.600026,sh.600028,sh.600039,sh.600085,sh.600111,sh.600160,sh.600188,sh.600415,sh.600674,sh.600795,sh.601058,sh.601088,sh.601127,sh.601169,sh.601225,sh.601288,sh.601328,sh.601600,sh.601699,sh.601857,sh.601898,sh.601899,sh.601985,sh.601988,sh.603260,sz.000301,sz.000408,sz.000807,sz.000963,sz.000983,sz.000999,sz.001965,sz.002028,sz.002466,sz.002594,sz.002920,sz.300274,sz.300308,sz.302132
sh.600795,0.00022598425459350403,0.00011208111222633279,8.590165279829394e-05,0.000139854189151977,5.549515814766658e-05,0.00010247978300731878,0.00013117710429079462,0.0001454645008618414,4.9682397398167457e-05,0.00017641757453989458,0.00047682217552598227,6.380465383941061e-05,0.00012133241641133713,0.00013777118162166044,4.7070616617095554e-05,0.00011889835790905835,3.669674189401346e-05,4.68655920894411e-05,0.00017501855261263627,0.00012740886741584585,9.455796560396871e-05,0.00014681012703406313,6.892360983962729e-05,0.00021294551417304987,3.384169903263107e-05,8.114195302846348e-05,5.490701607911191e-05,8.267516306066354e-05,0.00016057331560276138,7.388276735780898e-05,0.00017111368665771623,5.676838509428915e-05,9.616805300091504e-05,0.00011535047220015614,7.747391615089023e-05,5.331259586419451e-05,1.082393670129387e-05,3.920717026716593e-05,-1.3804246181246175e-05,4.21813217014388e-05
sh.601058,4.645692855285527e-05,5.707734862132836e-05,1.3211336429481705e-05,0.00010652388160954212,0.00014871755733539293,0.0002796766890375319,0.00023977075416519177,0.00011817104316999695,9.371306055102032e-05,9.215955190419609e-05,6.380465383941061e-05,0.0009737109050809092,5.514473200258113e-05,0.00033345716765445234,7.495230941543809e-06,0.00011162049018816301,-2.1855387849302144e-05,1.5542500006821413e-07,0.00015900022911148964,0.00010493020130203369,1.275776195420941e-05,7.511039921279591e-05,0.00015046682395740288,7.460892835650966e-05,-2.301993021825783e-05,0.000235579566585867,0.0002632402495724321,0.00021098793216181678,0.00014287143265101103,0.00021791838322370353,8.871160738015106e-05,7.116243150730757e-05,7.814626698377887e-06,0.0002126958492859058,0.0002887426147719305,0.00035241190732646663,0.0003852139707115632,0.0003081093338652018,0.00018349661897843663,0.00017923153757687962
sh.601088,0.00012250784279047413,0.00022711415202880623,0.00017166128860320926,9.04448073187602e-05,2.6306695845093157e-05,0.00012044166178396799,0.00012599572145715395,0.000578165027476128,5.4734022958490606e-05,0.0001328463510493762,0.00012133241641133713,5.514473200258113e-05,0.0005247807422916838,9.88417391924663e-05,4.8737969115455146e-05,0.0004535252197022273,4.878060825126236e-05,7.108757877687864e-05,0.0003101959075690993,0.0004487888788463465,0.00021320754311636648,0.0004550354443297517,0.0002270891176511845,0.00016879832541999608,5.735629379816704e-05,9.057555898164476e-05,7.4123356729275e-05,8.184378367765404e-05,0.0003248367656553894,2.8776536087893448e-05,0.0004911626865132127,1.1234626660690571e-05,9.420160225786638e-05,3.7299824262626845e-05,0.00012632196726481036,3.2421301747543246e-05,-3.0040619979102843e-05,-1.9509526359477365e-05,-3.153190146687112e-05,4.515310509150977e-05
sh.601127,0.0001150854693725929,0.00021130166080833058,1.975222595921713e-05,7.960319429839198e-05,9.528836094752764e-05,0.00045816900421517755,0.0002919730445202436,0.000169698500068044,9.547220110870624e-05,7.928614926499225e-05,0.00013777118162166044,0.00033345716765445234,9.88417391924663e-05,0.0021085948506789254,2.4139580875262706e-05,0.00017935010900878206,-1.0002033377770444e-05,6.257272887969252e-06,0.00031500096989563105,0.00024002531231982478,5.682101365699233e-05,0.00014339129139720726,0.0001984951410526044,0.00010649680694390126,-1.2320927574047062e-05,0.00034651847083921265,0.0003007019200749627,0.00033053048867289425,0.000359133938432928,0.00017774873059879292,0.0002897586930233705,5.784623247152637e-06,5.9055528625914265e-05,0.0002745633518626336,0.00044327539305850564,0.000451824457513148,0.0004293709077770705,0.0004141077262788702,0.00016305783747471038,0.00023411864409990745
sh.601169,4.276090268140698e-05,5.4947098122063386e-05,5.776771188656424e-05,4.141826696329876e-05,3.5848650333125554e-05,2.928986002515474e-05,1.0699102047674346e-05,3.8320533107513665e-05,5.467646953432172e-05,3.527254801740725e-05,4.7070616617095554e-05,7.495230941543809e-06,4.8737969115455146e-05,2.4139580875262706e-05,8.425792979828782e-05,6.12595069877556e-05,5.821497823996312e-05,5.4868687798693336e-05,7.970876300650588e-05,6.012605830619003e-05,6.444255155578523e-05,6.150474525772383e-05,6.187293720276019e-05,5.0750818165495e-05,5.610929824631511e-05,4.924324769686804e-06,-1.2080014560345377e-06,1.2658708476365183e-05,8.186584179638523e-05,3.5670855299200654e-05,7.17715058714669e-05,2.3630195466118713e-05,5.964736510379548e-05,7.996184772202378e-06,1.1397391622397395e-05,5.640046999898638e-06,-1.7227966193496893e-05,-1.1364176490367161e-05,1.1155046451859819e-05,1.698284157879043e-05
sh.601225,0.00011556234636580625,0.0002523531813625923,0.00017634866396552438,0.00012649284852134335,1.3564465928919323e-05,0.00018848579197258865,0.00018828412860298033,0.0006866622356518811,7.846518422818631e-05,0.00011956095325336314,0.00011889835790905835,0.00011162049018816301,0.0004535252197022273,0.00017935010900878206,6.12595069877556e-05,0.0007142374700834656,5.053944359281156e-05,7.435884566264605e-05,0.0003724896676865338,0.0005895126316204037,0.0002247677616622435,0.0005330259747922684,0.00028940009222985015,0.00016476356276771994,6.052865891350549e-05,0.00015393015492128615,0.0001562029950519871,0.00012965912044780826,0.00040925410328576276,4.711056147582393e-05,0.00065236268496943,7.872745644066619e-06,0.00011176539428657604,4.024006968116995e-05,0.00016974487727349242,8.003726089725183e-05,4.2507588378308624e-05,5.580597166313919e-05,8.39935070092754e-06,2.4630984524526645e-05
sh.601288,3.395428837815746e-05,3.6356389718639645e-05,6.149449763680407e-05,2.5244763618634035e-05,2.592165317588331e-05,-4.114269001450644e-06,-9.134905920053169e-06,3.7146381807045676e-05,2.8848299116791447e-05,2.8866183511233015e-05,3.669674189401346e-05,-2.1855387849302144e-05,4.878060825126236e-05,-1.0002033377770444e-05,5.821497823996312e-05,5.053944359281156e-05,9.135108784315251e-05,6.136167394474087e-05,4.862691739913592e-05,3.8354978019930835e-05,6.29771605276503e-05,5.5625297811737866e-05,3.440312715069794e-05,4.086316051437038e-05,7.190446812733981e-05,-2.7456308326972534e-05,-1.4186531075113015e-05,-1.2041667302347145e-05,4.8809031527638376e-05,6.046148849298981e-06,4.6619319660372474e-05,1.7187293542789736e-05,5.476841360656661e-05,-2.3306716728356983e-05,-2.800845067893732e-05,-3.3739582422677805e-05,-3.7994114770356646e-05,-5.018947850027063e-05,5.775699976115256e-06,-5.846304106765293e-06
sh.601328,4.024312097705919e-05,6.374524189696273e-05,6.110121260160988e-05,2.8521753194389426e-05,3.893601062148852e-05,9.424300205534046e-06,1.4222149179820685e-05,6.19474314265536e-05,6.0576071103635435e-05,2.8255625429555005e-05,4.68655920894411e-05,1.5542500006821413e-07,7.108757877687864e-05,6.257272887969252e-06,5.4868687798693336e-05,7.435884566264605e-05,6.136167394474087e-05,0.00010438437942356049,7.898739700700349e-05,5.70859914172526e-05,7.036014892151168e-05,7.279709313982447e-05,6.544857654508252e-05,4.5457788464156014e-05,6.362766353702594e-05,-1.918698835339019e-05,1.4581181375338907e-06,1.3366920091355861e-05,8.048871904289866e-05,1.7771526747116685e-05,7.086296699821464e-05,2.495435877696752e-05,6.47206894141752e-05,-1.3878143374970088e-05,-3.321423507054622e-06,2.254278835182661e-06,-1.4542853966436579e-05,-4.3985489583638685e-05,3.180166416327482e-07,2.2247622969990805e-05
sh.601600,0.00015058024841720018,0.0002719465472861264,0.00021322401923321412,0.00014342382692832218,0.00010611397088229786,0.0004531046148940309,0.0003204315898944871,0.000511162885546795,0.0001401333083581021,0.00014049762773978692,0.00017501855261263627,0.00015900022911148964,0.0003101959075690993,0.00031500096989563105,7.970876300650588e-05,0.0003724896676865338,4.862691739913592e-05,7.898739700700349e-05,0.0008895033465992465,0.00047251304927884043,0.00025628242559214376,0.00045600839092500557,0.0004972695975148616,0.0002208737105200379,5.1346700858947497e-05,0.0002994927606464177,0.0002961299440331906,0.00025517827709308367,0.0008386842342037444,9.1125465745752e-05,0.0005634499694871548,6.650843297295577e-05,0.00013530415756038202,0.00018193912534543983,0.0003637961219837934,0.00017730070489825286,5.613991588310764e-05,0.00015158820020573028,5.2395526841644755e-05,0.00018784245486742194
sh.601699,0.00014375974759588456,0.0002715154109357989,0.0001797301292397189,9.630485272966142e-05,-8.929426900165585e-06,0.0002357672998213214,0.0002575066056510585,0.0007707425784415638,9.234074383339137e-05,0.00012479929229280816,0.00012740886741584585,0.00010493020130203369,0.0004487888788463465,0.00024002531231982478,6.012605830619003e-05,0.0005895126316204037,3.8354978019930835e-05,5.70859914172526e-05,0.00047251304927884043,0.0010964254381920949,0.00023643029013208425,0.0006381381289072027,0.00035465396919207346,0.00019816934148941497,4.295227229260857e-05,0.0001581796317723343,0.0001547121448433689,0.00016545180386903758,0.0005281997525605813,2.8475664181974977e-05,0.0008475036214756603,7.418315343751383e-06,8.167696789559091e-05,4.495429538830169e-05,0.00021487566717582344,9.283979933386851e-05,1.1565715993016172e-05,5.533740798212286e-05,-2.325123104674068e-06,9.230529722362236e-05
