,u3
sz.300308,0.015384355470345976
sz.300316,-0.07090994323801542
sz.300347,0.07870279898828858
sz.300394,-0.01202353729820073
sz.300408,0.014033852400812542
sz.300413,0.05588208584999847
sz.300418,-0.0013513544415103057
sz.300433,0.018061375797418195
sz.300442,-0.012765194978388697
sz.300498,0.01373670642976423
sz.300502,0.006876330188450773
sz.300628,0.024062776245399046
sz.300661,-0.006606282168118645
sz.300750,-0.0052632820878370885
sz.300759,0.058676531279725976
sz.300760,0.09863161674057211
sz.300782,0.03186070742860181
sz.300832,0.03458409239945619
sz.300896,0.05598921894794693
sz.302132,-0.04621144418780895
